"metric","avg_freq","new_label"
"syl48",1.1760560415863,"D9"
"syl60",0.952905923249317,"D8"
"syl30",0.943091792319613,"D7"
"syl88",0.8813308402978,"D6"
"syl13",0.802265896388559,"D5"
"syl71",0.77950003456331,"D4"
"syl75",0.764021201146239,"D3"
"syl4",0.746329651524901,"D2"
"syl81",0.34647061908305,"D1"
"syl23",0.0711973628108115,"N2"
"syl15",-0.0367326665418247,"N1"
"syl8",-2.87612178979848,"U2"
"syl21",-4.67554613594983,"U1"
